 
Mahindra Xuv500 W10 (make Year 2016) (diesel),Bengaluru,Mahindra,Xuv500,2016,Diesel,3900,1950000
Good condition up to date documents,Bengaluru,Mahindra,Xylo,2011,Diesel,135000,350000
Mahindra Scorpio S10 (make Year 2015) (diesel),Bengaluru,Mahindra,Scorpio,2015,Diesel,3500,1385000
Mahindra Xuv500 diesel 56000 Kms 2012 year,Bengaluru,Mahindra,Xuv500,2012,Diesel,56000,1235000
Mahindra Scorpio Sle Bs-iii (make Year 2010) (diesel),Bengaluru,Mahindra,Scorpio,2010,Diesel,84100,640000
Mahindra Scorpio S6 Plus (make Year 2011) (diesel),Bengaluru,Mahindra,Scorpio,2011,Diesel,94000,550000
Mahindra Xylo D4 Bs-iv (make Year 2013) (diesel),Bengaluru,Mahindra,Xylo,2013,Diesel,126028,590000
Mahindra Xuv500 W8 (make Year 2012) (diesel),Bengaluru,Mahindra,Xuv500,2012,Diesel,76358,1175000
Mahindra Xuv500 W8 (make Year 2012) (diesel),Bengaluru,Mahindra,Xuv500,2012,Diesel,67433,1175000
Mahindra Xylo diesel 10600 Kms 2013 year,Bengaluru,Mahindra,Xylo,2013,Diesel,10600,580000
Mahindra Xuv500 W8 2013 (make Year 2013) (diesel),Bengaluru,Mahindra,Xuv500,2013,Diesel,51543,1345000
Mahindra Bolero Zlx Bs Iv (make Year 2014) (diesel),Bengaluru,Mahindra,Bolero,2014,Diesel,28000,735000
2015 Mahindra Xuv500 diesel 24000 Kms,Bengaluru,Mahindra,Xuv500,2015,Diesel,24000,1730000
Mahindra Xylo Xylo E6 Bs-iv (make Year 2013) (diesel),Bengaluru,Mahindra,Xylo,2013,Diesel,70000,650000
Mahindra Xuv500 Xuv500 W8 (make Year 2012) (diesel),Bengaluru,Mahindra,Xuv500,2012,Diesel,51000,1175000
Mahindra Scorpio Sle Bs-iii (make Year 2010) (diesel),Bengaluru,Mahindra,Scorpio,2010,Diesel,83000,635000
Mahindra Xuv500 W8 (make Year 2012) (diesel),Bengaluru,Mahindra,Xuv500,2012,Diesel,41669,1165000
Mahindra Scorpio Vlx 4wd Bs-iii (make Year 2011) (diesel),Bengaluru,Mahindra,Scorpio,2011,Diesel,107021,785000
Mahindra Scorpio Slx 2.6 Turbo 7 Str (make Year 2010) (diese,Bengaluru,Mahindra,Scorpio,2010,Diesel,84123,695000
Mahindra Scorpio Vls At 2.2 Mhawk (make Year 2010) (diesel),Bengaluru,Mahindra,Scorpio,2010,Diesel,105000,669000
Mahindra Scorpio Sle Bs-iii (make Year 2012) (diesel),Bengaluru,Mahindra,Scorpio,2012,Diesel,88000,775000
Mahindra Xuv500 W8 2013 (make Year 2013) (diesel),Bengaluru,Mahindra,Xuv500,2013,Diesel,27000,1250000
Mahindra Scorpio diesel 70000 Kms 2011 year,Bengaluru,Mahindra,Scorpio,2011,Diesel,70000,660000
