Manufacturer,Model,Price,Year,KMS
Maruti Suzuki,Swift,410000,2011,70000
Maruti Suzuki,Ciaz,900000,2015,53000
Maruti Suzuki,Celerio,440000,2014,22000
Maruti Suzuki,Swift,350000,2010,60000
Maruti Suzuki,Ertiga,740000,2014,64000
Maruti Suzuki,Swift Dzire,540000,2013,39962
Maruti Suzuki,Omni,260000,2014,63000
Maruti Suzuki,Baleno,544000,2016,1
Maruti Suzuki,Swift,400000,2011,76600
Maruti Suzuki,Swift,388000,2011,88000
Maruti Suzuki,Eeco,215000,2010,75000
Maruti Suzuki,Omni,159000,2010,56000
Maruti Suzuki,Celerio,485000,2016,14733
Maruti Suzuki,Omni,240000,2013,32000
Maruti Suzuki,Ertiga,825000,2016,33000
Maruti Suzuki,Omni,240000,2013,29000
Maruti Suzuki,Swift Dzire,620000,2016,13000
Maruti Suzuki,Wagon R 1.0,385000,2014,45000
Maruti Suzuki,Alto 800,259000,2013,38000
Maruti Suzuki,Swift,415000,2011,77000
Maruti Suzuki,Ciaz,1074675,2016,25
Maruti Suzuki,Swift Dzire,375000,2010,35950
Maruti Suzuki,Omni,265000,2014,19455
Maruti Suzuki,Alto 800,389000,2016,2300
Maruti Suzuki,Celerio,450000,2014,32500
Maruti Suzuki,Swift Dzire,595000,2014,36000
Maruti Suzuki,Omni,275000,2014,24800
Maruti Suzuki,Omni,200000,2012,18000
Maruti Suzuki,Swift Dzire,650000,2016,15000
Maruti Suzuki,Celerio,425000,2014,14000
Maruti Suzuki,Swift Dzire,650000,2016,3800
Maruti Suzuki,Omni,170000,2010,48000
Maruti Suzuki,Eeco,420000,2016,2750
Maruti Suzuki,Celerio,430000,2014,42000
Maruti Suzuki,Eeco,400000,2016,5060
Maruti Suzuki,Wagon R 1.0,400000,2014,17600
Maruti Suzuki,Swift Dzire,550000,2014,31000
Maruti Suzuki,Swift Dzire,660000,2016,16000
Maruti Suzuki,Baleno,800000,2015,17500
Maruti Suzuki,Omni,250000,2013,38000
Maruti Suzuki,Alto 800,250000,2013,43000
Maruti Suzuki,Ciaz,930000,2016,20000
Maruti Suzuki,Omni,275000,2014,8928
Maruti Suzuki,Swift Dzire,565000,2014,33754
Maruti Suzuki,Alto 800,270000,2014,35000
Maruti Suzuki,Swift,450000,2012,60000
Maruti Suzuki,Ciaz,900000,2015,18000
Maruti Suzuki,Alto 800,255000,2013,38000
Maruti Suzuki,Eeco,248000,2012,50000
Maruti Suzuki,Ciaz,895000,2015,14267
Maruti Suzuki,Alto 800,348000,2016,1
Maruti Suzuki,Swift,600000,2015,5035
Maruti Suzuki,Omni,165000,2010,52000
Maruti Suzuki,Swift Dzire,375000,2010,31000
Maruti Suzuki,Omni,230000,2013,29000
Maruti Suzuki,Baleno,842000,2016,9700
Maruti Suzuki,Omni,180000,2012,78000
Maruti Suzuki,Omni,260000,2014,8900
Maruti Suzuki,Omni,180000,2012,78000
Maruti Suzuki,Alto 800,310000,2015,4000
Maruti Suzuki,Ertiga,700000,2013,16000
Maruti Suzuki,Swift Dzire,540000,2013,34000
Maruti Suzuki,Omni,165000,2010,52000
Maruti Suzuki,Alto 800,265000,2014,65000
Maruti Suzuki,Swift,487000,2013,1
Maruti Suzuki,Swift Dzire,350000,2010,27000
Maruti Suzuki,Swift Dzire,375000,2011,185000
Maruti Suzuki,Wagon R 1.0,425000,2015,9600
Maruti Suzuki,Omni,300000,2016,2906
Maruti Suzuki,Eeco,370000,2015,23000
Maruti Suzuki,Omni,250000,2013,18000
Maruti Suzuki,Omni,215000,2012,17
Maruti Suzuki,Celerio,475000,2015,15102
Maruti Suzuki,Swift,590000,2015,20000
Maruti Suzuki,Swift,500000,2014,60741
Maruti Suzuki,Omni,200000,2012,51000
Maruti Suzuki,Ciaz,899999,2015,35800
Maruti Suzuki,Alto 800,295000,2015,10030
Maruti Suzuki,Swift Dzire,375000,2011,189000
Maruti Suzuki,Omni,250000,2013,20000
Maruti Suzuki,Eeco,410000,2016,4500
Maruti Suzuki,Eeco,220000,2010,73000
Maruti Suzuki,Swift,600000,2016,500
Maruti Suzuki,Omni,230000,2013,5210
Maruti Suzuki,Swift,415000,2011,88000
Maruti Suzuki,Swift,340000,2010,62400
Maruti Suzuki,Omni,250000,2014,19900
